 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,1.244,44.578,39,57,4.470,4.148,0.435,44,1,1.419,0.705,0.729
2,1.244,44.578,39,57,4.470,4.148,0.435,44,2,1.419,0.705,0.729
3,2.617,49.115,38,71,4.443,4.228,0.678,48,3,1.171,0.854,0.866
4,3.131,50.642,39,77,4.525,4.395,0.632,49,4,1.033,0.968,0.830
5,3.857,50.037,38,76,4.479,4.324,0.556,48,5,1.280,0.781,0.823
6,3.973,51.650,38,74,4.427,4.366,0.695,51,6,1.046,0.956,0.883
7,4.175,51.228,39,71,4.436,4.432,0.700,50,7,1.122,0.891,0.869
8,4.794,52.833,39,79,4.451,4.517,0.573,51,8,1.096,0.912,0.837
9,5.589,51.668,39,77,4.483,4.376,0.699,50,9,1.043,0.959,0.885
10,5.289,50.622,39,77,4.480,4.523,0.679,48,10,1.304,0.767,0.885
11,5.882,52.023,39,71,4.447,4.547,0.516,51,11,1.054,0.948,0.830
12,5.994,52.555,39,74,4.431,4.512,0.663,53,12,1.102,0.907,0.886
13,5.784,53.292,39,72,4.472,4.527,0.663,53,13,1.143,0.875,0.893
14,5.827,50.347,39,70,4.418,4.493,0.613,49,14,1.068,0.936,0.827
15,6.109,51.489,39,77,4.473,4.583,0.552,50,15,1.161,0.861,0.882
16,5.900,51.148,38,69,4.469,4.607,0.598,50,16,1.109,0.902,0.867
17,5.849,52.502,39,72,4.464,4.596,0.744,52,17,1.137,0.880,0.872
18,6.250,50.938,39,70,4.443,4.641,0.655,51,18,1.203,0.831,0.863
19,6.529,49.737,39,69,4.450,4.592,0.498,49,19,1.034,0.967,0.799
20,6.728,50.819,38,72,4.452,4.615,0.622,50,20,1.198,0.835,0.867
21,6.355,51.026,39,67,4.490,4.576,0.504,50,21,1.094,0.914,0.778
22,6.395,50.611,39,72,4.407,4.609,0.608,49,22,1.142,0.876,0.824
23,6.120,52.477,38,73,4.417,4.629,0.563,52,23,1.180,0.848,0.831
24,6.532,51.481,39,71,4.441,4.573,0.442,51,24,1.158,0.864,0.754
25,6.218,51.633,39,68,4.426,4.565,0.680,52,25,1.138,0.879,0.900
26,6.691,49.667,39,70,4.458,4.605,0.690,48,26,1.113,0.898,0.852
27,6.605,50.951,39,67,4.439,4.630,0.619,51,27,1.121,0.892,0.835
28,7.259,50.092,39,68,4.445,4.609,0.600,50,28,1.054,0.948,0.839
