 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,419.017,28.338,0,91,10.377,11.123,0.582,29,1,1.293,0.773,0.946
2,427.755,28.254,0,122,10.463,11.075,0.527,29,2,1.274,0.785,0.928
3,429.342,28.185,11,124,10.512,11.025,0.519,29,3,1.259,0.794,0.936
4,425.644,28.292,12,128,10.476,11.015,0.554,29,4,1.271,0.787,0.943
5,424.306,28.293,10,122,10.465,10.986,0.525,29,5,1.276,0.784,0.944
6,426.978,28.260,11,129,10.482,10.984,0.558,28,6,1.268,0.789,0.934
7,426.970,28.243,11,121,10.482,10.946,0.516,28,7,1.257,0.796,0.927
8,425.615,28.339,12,130,10.468,10.977,0.537,28,8,1.271,0.787,0.946
9,422.325,28.334,10,116,10.497,10.963,0.476,28,9,1.285,0.778,0.927
10,423.471,28.288,11,113,10.468,10.985,0.541,28,10,1.280,0.781,0.946
11,424.270,28.179,0,115,10.473,10.973,0.561,28,11,1.265,0.791,0.944
12,423.406,28.290,11,116,10.476,10.991,0.505,28,12,1.279,0.782,0.945
13,413.982,28.578,11,109,10.404,10.949,0.504,29,13,1.296,0.771,0.938
14,421.270,28.338,12,107,10.452,10.980,0.517,29,14,1.286,0.778,0.939
15,420.315,28.210,13,106,10.426,10.994,0.503,28,15,1.286,0.777,0.934
16,419.516,28.182,12,102,10.436,10.997,0.529,28,16,1.296,0.772,0.948
17,418.916,28.325,0,98,10.448,10.984,0.533,28,17,1.287,0.777,0.941
18,419.784,28.292,11,98,10.464,10.986,0.521,28,18,1.294,0.773,0.940
19,417.727,28.245,11,100,10.440,10.966,0.529,28,19,1.294,0.773,0.943
20,419.310,28.293,11,99,10.469,10.968,0.542,28,20,1.290,0.775,0.946
21,417.044,28.362,12,99,10.436,10.979,0.581,28,21,1.299,0.770,0.953
22,415.851,28.405,11,99,10.436,10.965,0.545,29,22,1.303,0.768,0.944
23,417.629,28.147,11,91,10.457,10.931,0.540,28,23,1.292,0.774,0.946
24,407.916,28.691,12,99,10.393,10.927,0.516,29,24,1.313,0.762,0.952
25,415.692,28.301,11,90,10.434,10.980,0.551,28,25,1.302,0.768,0.947
26,412.127,28.373,11,98,10.428,10.994,0.550,28,26,1.322,0.756,0.954
27,406.900,28.633,11,96,10.389,10.907,0.545,29,27,1.320,0.757,0.950
28,405.331,28.610,0,94,10.388,10.879,0.536,29,28,1.319,0.758,0.946
29,405.410,28.581,0,96,10.395,10.920,0.473,29,29,1.317,0.760,0.935
30,403.444,28.745,10,90,10.391,10.885,0.537,29,30,1.326,0.754,0.940
31,405.768,28.621,0,95,10.414,10.898,0.536,29,31,1.320,0.758,0.944
32,409.376,28.325,0,89,10.417,10.902,0.437,28,32,1.308,0.764,0.937
33,400.559,28.684,10,90,10.388,10.823,0.547,29,33,1.327,0.753,0.950
34,401.600,28.728,12,86,10.378,10.865,0.460,29,34,1.331,0.751,0.935
35,401.759,28.651,12,87,10.405,10.872,0.553,29,35,1.326,0.754,0.950
36,401.868,28.699,0,89,10.411,10.879,0.595,29,36,1.334,0.750,0.952
37,401.940,28.639,0,86,10.396,10.901,0.566,29,37,1.342,0.745,0.949
38,399.681,28.694,12,84,10.418,10.868,0.561,29,38,1.342,0.745,0.949
39,400.313,28.570,11,88,10.377,10.884,0.562,29,39,1.335,0.749,0.948
40,398.759,28.703,12,87,10.375,10.883,0.565,29,40,1.335,0.749,0.954
41,404.998,28.325,11,95,10.390,10.900,0.549,28,41,1.324,0.755,0.943
42,398.332,28.611,11,85,10.369,10.865,0.528,29,42,1.342,0.745,0.946
