 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,204.313,26.313,12,107,15.168,6.755,0.467,26,1,1.244,0.804,0.891
2,39.728,28.343,12,53,22.149,13.488,0.659,27,1,1.752,0.571,0.984
3,204.146,27.087,12,114,15.221,6.803,0.462,27,2,1.237,0.808,0.889
4,39.272,28.113,12,53,22.184,13.479,0.654,27,2,1.758,0.569,0.985
5,204.298,27.127,12,128,15.245,6.809,0.459,27,3,1.236,0.809,0.890
6,38.918,27.878,12,52,22.214,13.481,0.656,27,3,1.766,0.566,0.985
7,242.511,27.338,12,124,16.437,7.911,0.296,27,4,1.275,0.784,0.881
8,203.513,27.098,12,128,15.244,6.864,0.466,27,5,1.229,0.814,0.889
9,38.704,27.671,12,50,22.249,13.438,0.649,27,5,1.783,0.561,0.983
10,204.436,27.105,12,130,15.257,6.900,0.465,27,6,1.229,0.814,0.890
11,38.382,27.620,12,51,22.290,13.422,0.643,26,6,1.800,0.556,0.983
12,204.993,27.147,12,110,15.280,6.934,0.457,27,7,1.227,0.815,0.890
13,37.680,27.547,12,50,22.294,13.467,0.645,26,7,1.805,0.554,0.983
14,204.165,26.948,12,111,15.316,6.926,0.454,26,8,1.227,0.815,0.889
15,38.042,27.624,12,55,22.274,13.465,0.645,27,8,1.808,0.553,0.983
16,204.168,26.959,12,121,15.286,6.963,0.460,26,9,1.223,0.818,0.889
17,37.991,27.223,12,51,22.289,13.481,0.651,26,9,1.794,0.557,0.985
18,204.081,26.955,12,118,15.321,6.981,0.457,26,10,1.228,0.815,0.882
19,37.832,27.208,12,54,22.287,13.463,0.647,26,10,1.805,0.554,0.983
20,203.260,27.080,12,112,15.305,6.964,0.453,27,11,1.226,0.816,0.884
21,37.525,27.401,12,53,22.318,13.464,0.643,26,11,1.820,0.550,0.983
22,202.909,27.183,12,117,15.312,6.954,0.461,27,12,1.228,0.814,0.887
23,37.412,27.491,12,51,22.300,13.505,0.646,26,12,1.799,0.556,0.983
24,202.456,27.215,12,123,15.375,6.930,0.462,27,13,1.228,0.814,0.889
25,37.318,27.345,12,50,22.322,13.466,0.639,26,13,1.827,0.547,0.983
26,202.210,27.012,12,118,15.379,6.934,0.465,27,14,1.231,0.813,0.885
27,37.170,27.332,12,55,22.324,13.488,0.638,26,14,1.815,0.551,0.983
28,201.664,27.177,12,121,15.400,6.922,0.453,27,15,1.235,0.809,0.880
29,37.720,27.227,12,50,22.309,13.435,0.643,26,15,1.807,0.553,0.984
30,201.349,27.256,12,120,15.452,6.909,0.461,27,16,1.231,0.812,0.885
31,37.611,27.206,12,50,22.289,13.503,0.661,26,16,1.799,0.556,0.984
32,200.741,27.029,12,113,15.466,6.880,0.462,26,17,1.238,0.807,0.888
33,37.463,27.022,12,50,22.328,13.444,0.646,26,17,1.827,0.547,0.983
34,200.676,27.185,12,113,15.453,6.879,0.464,27,18,1.230,0.813,0.884
35,37.590,27.179,12,52,22.340,13.436,0.638,26,18,1.842,0.543,0.985
36,200.777,27.018,12,111,15.495,6.923,0.465,27,19,1.222,0.818,0.886
37,37.727,27.470,12,49,22.332,13.411,0.645,26,19,1.847,0.541,0.985
38,201.389,27.038,12,104,15.513,6.921,0.458,27,20,1.224,0.817,0.886
39,37.546,27.050,12,57,22.351,13.409,0.641,26,20,1.850,0.540,0.986
40,201.450,27.255,12,111,15.548,6.926,0.457,27,21,1.223,0.818,0.887
41,37.210,26.964,12,51,22.345,13.473,0.639,26,21,1.843,0.543,0.987
42,201.374,27.155,12,104,15.554,6.916,0.467,27,22,1.221,0.819,0.889
43,36.837,27.321,12,51,22.379,13.436,0.634,26,22,1.864,0.537,0.981
44,201.081,27.065,12,103,15.536,6.880,0.465,27,23,1.224,0.817,0.891
45,36.960,27.004,12,53,22.343,13.469,0.633,26,23,1.861,0.537,0.984
46,201.823,27.018,12,104,15.518,6.911,0.460,26,24,1.219,0.821,0.890
