 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.061,40.235,38,43,3.510,1.749,1.000,40,1,1.263,0.792,0.919
2,1.283,43.887,37,64,3.727,1.899,0.466,42,2,1.508,0.663,0.521
3,3.185,43.837,37,68,3.497,1.876,0.453,41,3,1.290,0.775,0.701
4,3.911,44.823,37,70,3.529,2.021,0.467,42,4,1.277,0.783,0.648
5,4.613,45.380,36,73,3.461,2.083,0.287,42,5,1.247,0.802,0.593
6,4.179,46.018,36,71,3.455,2.255,0.340,44,6,1.068,0.936,0.691
7,5.339,46.400,36,78,3.499,2.276,0.355,43,7,1.108,0.903,0.424
8,5.332,47.152,37,81,3.392,2.494,0.398,44,8,1.110,0.901,0.738
9,5.603,47.083,36,75,3.430,2.612,0.484,44,9,1.322,0.757,0.787
10,6.420,46.699,35,83,3.470,2.699,0.361,43,10,1.242,0.805,0.718
11,6.174,47.653,37,77,3.626,3.062,0.457,47,11,1.197,0.835,0.791
12,6.167,46.611,34,70,3.652,3.211,0.571,45,12,1.195,0.837,0.730
13,6.232,46.468,36,76,3.645,3.354,0.383,44,13,1.175,0.851,0.752
14,6.887,45.753,36,68,3.668,3.563,0.369,44,14,1.070,0.934,0.688
15,6.615,45.986,36,65,3.757,3.773,0.552,45,15,1.141,0.876,0.828
16,7.118,46.629,36,66,3.789,3.896,0.409,45,16,1.071,0.934,0.790
17,7.508,45.429,36,65,3.752,3.918,0.497,44,17,1.103,0.907,0.833
18,7.089,45.941,37,66,3.818,4.088,0.300,44,18,1.219,0.820,0.649
19,7.230,45.822,37,69,3.886,4.202,0.311,44,19,1.263,0.791,0.582
20,7.841,46.039,37,67,3.975,4.289,0.283,45,20,1.148,0.871,0.473
21,6.724,45.110,36,66,4.008,4.265,0.312,44,21,1.043,0.959,0.531
22,7.917,45.621,36,69,3.955,4.424,0.327,44,22,1.117,0.895,0.696
23,7.100,45.830,37,64,4.085,4.399,0.241,44,23,1.109,0.902,0.598
24,7.545,45.883,37,63,4.029,4.705,0.426,45,24,1.210,0.826,0.736
25,7.292,45.335,37,65,4.150,4.729,0.410,44,25,1.090,0.917,0.760
26,7.599,45.243,32,65,4.248,4.793,0.238,45,26,1.166,0.857,0.523
27,7.736,45.035,36,63,4.274,4.888,0.246,43,27,1.075,0.930,0.593
28,8.401,44.560,36,64,4.327,4.831,0.272,43,28,1.088,0.919,0.677
29,8.108,44.927,32,62,4.319,4.875,0.328,44,29,1.070,0.934,0.557
30,7.805,45.701,37,63,4.365,5.029,0.371,45,30,1.227,0.815,0.733
31,7.602,45.180,36,59,4.341,5.110,0.310,45,31,1.378,0.726,0.649
32,7.942,45.664,37,60,4.339,5.015,0.427,45,32,1.186,0.843,0.802
33,7.877,44.941,36,63,4.377,5.070,0.366,43,33,1.154,0.866,0.795
34,8.148,44.255,34,59,4.403,5.091,0.399,43,34,1.305,0.766,0.763
35,7.971,44.488,36,62,4.387,5.220,0.335,44,35,1.198,0.835,0.590
36,7.038,44.246,37,61,4.287,5.076,0.292,44,36,1.316,0.760,0.634
37,7.418,44.019,37,62,4.349,5.400,0.301,42,37,1.308,0.765,0.694
38,7.599,44.174,37,57,4.347,5.366,0.299,44,38,1.258,0.795,0.732
39,7.675,44.100,35,60,4.344,5.379,0.256,43,39,1.222,0.818,0.659
40,7.288,43.599,37,57,4.451,5.553,0.282,43,40,1.300,0.769,0.712
41,6.966,44.447,36,62,4.446,5.513,0.232,44,41,1.349,0.741,0.653
42,7.248,44.389,37,58,4.400,5.482,0.335,44,42,1.313,0.762,0.673
43,7.432,45.072,35,59,4.432,5.609,0.342,44,43,1.273,0.786,0.713
44,7.606,43.835,35,56,4.360,5.669,0.293,43,44,1.335,0.749,0.722
45,7.010,44.262,36,57,4.452,5.776,0.395,44,45,1.169,0.856,0.768
