 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,675.908,20.188,5,43,15.721,13.778,0.320,20,1,1.255,0.797,0.865
2,638.525,21.033,8,64,15.494,13.665,0.468,20,2,1.334,0.750,0.921
3,636.385,21.061,8,68,15.519,13.695,0.463,20,3,1.323,0.756,0.924
4,637.000,21.062,8,70,15.463,13.701,0.483,20,4,1.324,0.755,0.924
5,634.082,21.038,8,73,15.540,13.744,0.477,20,5,1.323,0.756,0.921
6,621.802,21.159,9,71,15.558,13.792,0.442,20,6,1.321,0.757,0.916
7,631.617,21.064,8,78,15.541,13.879,0.481,20,7,1.321,0.757,0.922
8,628.631,21.021,8,81,15.585,13.951,0.469,20,8,1.319,0.758,0.919
9,624.806,21.047,8,75,15.630,14.052,0.487,20,9,1.318,0.759,0.923
10,618.979,21.129,8,83,15.680,14.116,0.481,20,10,1.320,0.757,0.923
11,617.305,21.041,9,77,15.694,14.233,0.479,20,11,1.322,0.756,0.924
12,610.585,21.021,0,70,15.784,14.345,0.471,20,12,1.326,0.754,0.923
13,595.340,21.166,8,76,15.842,14.473,0.416,20,13,1.330,0.752,0.916
14,597.581,21.127,0,68,15.828,14.560,0.451,20,14,1.332,0.751,0.917
15,582.586,21.193,9,65,15.900,14.680,0.454,20,15,1.347,0.743,0.916
16,585.059,21.091,9,66,15.942,14.765,0.433,20,16,1.339,0.747,0.912
17,583.920,21.186,9,65,15.962,14.861,0.474,20,17,1.338,0.748,0.918
18,575.660,21.181,0,66,16.061,14.934,0.493,20,18,1.341,0.746,0.921
19,573.827,21.193,0,69,16.114,15.035,0.486,20,19,1.339,0.747,0.921
20,567.837,21.302,9,67,16.227,15.091,0.466,20,20,1.338,0.747,0.915
21,566.192,21.152,7,66,16.300,15.109,0.493,20,21,1.343,0.745,0.919
22,562.541,21.247,0,69,16.329,15.131,0.463,20,22,1.341,0.746,0.918
23,556.793,21.265,0,64,16.430,15.205,0.436,20,23,1.343,0.745,0.913
24,554.725,21.207,8,63,16.439,15.256,0.506,20,24,1.336,0.748,0.917
25,549.567,21.244,0,65,16.534,15.322,0.499,20,25,1.338,0.747,0.917
26,547.047,21.260,0,65,16.582,15.374,0.488,20,26,1.331,0.751,0.913
27,541.505,21.311,9,63,16.658,15.445,0.451,21,27,1.326,0.754,0.912
28,538.273,21.253,9,64,16.704,15.489,0.472,21,28,1.328,0.753,0.918
29,533.010,21.279,9,62,16.786,15.601,0.493,20,29,1.332,0.751,0.919
30,531.430,21.398,8,63,16.807,15.638,0.486,21,30,1.332,0.751,0.920
31,526.626,21.338,9,59,16.855,15.687,0.482,21,31,1.329,0.752,0.921
32,526.666,21.269,9,60,16.828,15.717,0.506,20,32,1.324,0.755,0.923
33,521.059,21.347,0,63,16.916,15.756,0.446,21,33,1.332,0.751,0.913
34,520.491,21.361,9,59,16.916,15.796,0.479,21,34,1.332,0.751,0.917
35,519.056,21.346,9,62,16.910,15.845,0.475,21,35,1.331,0.752,0.915
36,517.426,21.373,0,61,16.956,15.898,0.487,21,36,1.330,0.752,0.920
37,515.401,21.343,9,62,16.969,15.915,0.462,21,37,1.331,0.752,0.918
38,513.521,21.344,0,57,16.976,15.956,0.465,21,38,1.336,0.749,0.916
