 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.354,65.408,44,92,3.042,3.090,0.980,63,1,1.199,0.834,0.925
2,0.354,120.337,97,154,3.037,3.126,0.980,117,2,1.199,0.834,0.925
3,0.481,131.414,97,184,3.072,3.134,0.920,127,3,1.215,0.823,0.930
4,0.539,125.510,97,170,3.144,3.095,0.897,120,4,1.114,0.898,0.906
5,0.571,131.646,97,189,3.037,3.030,0.937,126,5,1.132,0.883,0.938
6,0.564,128.679,97,181,3.083,3.064,0.949,123,6,1.008,0.992,0.934
7,0.658,125.115,97,171,3.162,2.985,0.935,121,7,1.053,0.949,0.941
8,0.578,126.781,97,175,3.082,3.015,0.939,123,8,1.090,0.917,0.930
9,0.586,121.753,97,164,3.088,2.929,0.940,118,9,1.034,0.967,0.923
10,0.593,121.854,97,165,3.106,3.015,0.906,118,10,1.186,0.843,0.916
11,0.647,120.520,97,155,3.062,2.942,0.965,117,11,1.131,0.884,0.945
12,0.589,117.123,97,148,2.973,2.991,0.932,115,12,1.184,0.845,0.929
13,0.586,116.080,97,146,3.051,2.993,0.975,113,13,1.090,0.918,0.942
14,0.571,110.013,97,130,3.021,2.961,0.927,109,14,1.071,0.933,0.929
15,0.506,108.693,97,125,2.964,3.028,0.932,107,15,1.108,0.903,0.924
16,0.484,108.052,97,124,2.923,2.923,0.868,107,16,1.260,0.794,0.912
17,0.445,108.715,97,124,2.946,3.007,0.976,108,17,1.110,0.901,0.950
18,0.351,104.196,97,112,3.016,2.882,0.951,104,18,1.303,0.768,0.928
19,0.275,106.632,97,121,3.036,2.881,0.980,106,19,1.071,0.933,0.921
20,0.376,107.298,97,121,3.038,2.953,0.932,106,20,1.329,0.753,0.916
21,0.289,103.463,97,112,3.166,2.985,0.944,103,21,1.113,0.899,0.904
22,0.347,103.531,97,112,3.033,2.851,0.871,103,22,1.476,0.677,0.901
23,0.362,104.390,97,116,3.020,2.884,0.807,104,23,1.539,0.650,0.889
24,0.224,102.290,97,110,2.934,2.953,0.967,102,24,1.186,0.843,0.912
25,0.231,99.641,97,104,2.916,3.002,0.906,100,25,1.394,0.718,0.889
26,0.289,100.275,97,103,2.896,2.979,0.994,101,26,1.204,0.830,0.936
27,0.206,101.298,97,109,2.892,2.931,0.985,100,27,1.223,0.818,0.919
28,0.210,100.586,97,106,2.956,2.912,0.905,100,28,1.560,0.641,0.906
29,0.148,97.585,96,99,2.992,3.013,0.826,98,29,1.787,0.560,0.845
30,0.134,98.811,97,102,2.861,2.915,0.855,99,30,1.690,0.592,0.914
31,0.112,98.258,97,100,3.048,2.921,0.960,98,31,1.592,0.628,0.899
32,0.116,99.125,97,102,3.060,3.006,0.991,99,32,1.202,0.832,0.889
33,0.260,101.431,97,106,2.951,3.037,0.815,102,33,1.694,0.590,0.906
34,0.141,99.462,97,103,2.932,2.912,0.841,99,34,1.669,0.599,0.867
35,0.213,100.763,97,107,2.956,2.986,0.883,100,35,1.507,0.663,0.894
36,0.148,99.415,97,102,2.895,2.925,0.948,99,36,1.351,0.740,0.932
37,0.116,99.688,97,103,2.984,2.940,0.991,99,37,1.356,0.737,0.889
38,0.101,99.107,97,102,3.043,2.959,1.000,99,38,1.307,0.765,0.903
39,0.145,99.950,97,104,3.002,3.023,0.953,100,39,1.051,0.951,0.879
40,0.058,98.000,97,99,2.946,3.066,0.785,98,40,1.000,1.000,1.000
41,0.025,97.286,97,98,3.036,2.976,1.000,97,41,1.596,0.626,0.875
