 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.887
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.888
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.889
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.890
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.891
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.892
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.893
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.894
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.895
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.896
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.897
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.898
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.899
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.900
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.901
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.902
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.903
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.904
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.905
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.906
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.907
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.908
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.909
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.910
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.911
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.912
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.913
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.914
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.915
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.916
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.917
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.918
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.919
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.920
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.921
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.922
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.923
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.924
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.925
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.926
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.927
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.928
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.929
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.930
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.931
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.932
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.933
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.934
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.935
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.936
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.937
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.938
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.939
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.940
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.941
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.942
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.943
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.944
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.945
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.946
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.947
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.948
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.949
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.950
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.951
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.952
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.953
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.954
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.955
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.956
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.957
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.958
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.959
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.960
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.961
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.962
1,503.820,46.198,0,95,12.550,15.741,0.345,45,1,1.802,0.555,0.963
