 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.463,20.672,15,24,4.356,3.889,0.575,20,1,1.361,0.735,0.505
2,0.727,29.368,25,37,4.356,4.078,0.538,29,2,1.202,0.832,0.548
3,1.124,30.797,25,40,4.343,4.184,0.461,30,3,1.346,0.743,0.689
4,1.417,30.635,25,40,4.472,4.054,0.665,30,4,1.316,0.760,0.839
5,1.985,30.712,25,41,4.580,3.967,0.598,30,5,1.374,0.728,0.824
6,1.985,30.131,25,39,4.522,3.953,0.439,29,6,1.068,0.936,0.708
7,2.657,30.741,25,44,4.392,4.009,0.342,29,7,1.911,0.523,0.678
8,2.885,30.799,25,44,4.471,3.973,0.354,30,8,1.487,0.673,0.669
9,3.431,30.541,26,45,4.475,4.006,0.472,29,9,1.416,0.706,0.744
10,2.957,31.740,25,46,4.453,3.979,0.336,30,10,1.686,0.593,0.654
11,3.629,30.572,25,40,4.502,3.929,0.381,29,11,1.242,0.805,0.701
12,3.431,30.385,25,43,4.385,4.042,0.327,30,12,1.656,0.604,0.674
13,3.702,30.099,24,44,4.412,3.966,0.360,29,13,1.416,0.706,0.728
14,3.275,30.287,25,42,4.431,3.986,0.297,30,14,1.552,0.644,0.548
15,3.601,29.579,25,41,4.369,3.912,0.255,29,15,1.486,0.673,0.583
16,4.027,29.423,25,38,4.652,3.831,0.531,29,16,1.252,0.799,0.837
17,3.702,30.425,25,42,4.498,3.958,0.281,29,17,1.324,0.755,0.662
18,3.803,29.946,25,39,4.536,3.896,0.364,29,18,1.256,0.796,0.662
19,3.539,29.899,24,38,4.634,3.854,0.342,29,19,1.645,0.608,0.729
20,4.150,29.726,25,41,4.406,3.969,0.362,29,20,1.539,0.650,0.694
21,4.121,30.104,23,40,4.539,3.828,0.367,29,21,1.712,0.584,0.718
22,4.233,29.106,25,38,4.484,3.892,0.371,28,22,1.655,0.604,0.696
23,4.291,29.222,24,39,4.475,3.905,0.250,28,23,1.310,0.764,0.631
24,4.204,28.427,24,35,4.599,3.848,0.276,28,24,1.408,0.710,0.649
25,3.825,28.774,24,36,4.531,3.928,0.351,28,25,1.332,0.751,0.750
