 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,32.702,18.957,10,30,21.219,0.966,0.150,19,1,10.584,0.094,0.849
2,303.300,14.835,7,27,18.966,20.189,0.283,15,1,1.441,0.694,0.901
3,304.454,15.201,9,37,18.887,20.231,0.315,15,2,1.403,0.713,0.867
4,307.772,15.097,0,40,18.817,20.239,0.272,15,3,1.404,0.712,0.868
5,304.248,15.053,0,40,18.905,20.319,0.255,15,4,1.432,0.698,0.872
6,305.603,15.081,8,41,18.876,20.312,0.309,15,5,1.433,0.698,0.897
7,335.225,14.730,7,39,18.761,20.143,0.184,15,6,1.435,0.697,0.830
8,307.754,15.081,0,44,18.860,20.275,0.257,15,7,1.439,0.695,0.875
9,308.437,15.012,0,44,18.832,20.230,0.255,15,8,1.413,0.708,0.860
10,310.917,15.098,0,45,18.799,20.315,0.323,15,9,1.421,0.704,0.884
11,347.910,14.504,0,46,18.847,19.949,0.146,14,10,1.532,0.653,0.836
12,307.255,15.044,0,40,18.788,20.208,0.244,15,11,1.437,0.696,0.876
13,308.557,15.044,0,43,18.823,20.216,0.310,15,12,1.421,0.704,0.888
14,310.559,15.038,7,44,18.807,20.199,0.274,15,13,1.447,0.691,0.862
15,337.061,14.657,7,42,18.777,20.033,0.121,14,14,1.476,0.678,0.771
16,684.299,12.023,4,41,17.256,17.955,0.389,12,15,1.491,0.671,0.921
17,330.905,14.800,7,38,18.854,20.140,0.173,15,16,1.462,0.684,0.826
18,329.285,14.808,0,42,18.870,20.127,0.198,15,17,1.478,0.677,0.835
19,310.136,15.076,0,39,18.895,20.129,0.265,15,18,1.439,0.695,0.870
20,302.527,15.066,0,38,18.893,20.208,0.350,15,19,1.444,0.692,0.898
21,307.613,15.038,0,41,18.823,20.128,0.296,15,20,1.433,0.698,0.882
22,682.440,12.032,4,40,17.231,18.046,0.370,11,21,1.498,0.667,0.906
23,306.558,15.118,8,38,18.874,20.180,0.259,15,22,1.441,0.694,0.879
